RECUPERATE_DATE,DOSE_DAYS_SUM,RECUPERATE_DATE_1,temp_diff,ilsahap_mj_m2,ilsohap_hr
20120102,595,20120102,7.1,6.16,5.9
20120103,573,20120103,6.6,4.46,2.7
20120104,398,20120104,5.3,8.05,8.1
20120105,605,20120105,8.5,9.14,9
20120106,681,20120106,6.9,8.57,8.4
20120107,173,20120107,10,8.26,8.5
20120108,10,20120108,5.9,4.81,2.8
20120109,335,20120109,4.5,5.34,2.4
20120110,448,20120110,7.3,7.51,6.6
20120111,208,20120111,4.8,9.28,9
20120112,857,20120112,9.9,6.95,6.3
20120113,541,20120113,6.7,7.45,6.7
20120114,145,20120114,9,8.79,8.7
20120116,457,20120116,12.9,8.99,9.1
20120117,684,20120117,8.2,7.04,5.2
20120118,226,20120118,7.6,6.8,4.6
20120119,1075,20120119,7,4.23,0.3
20120120,647,20120120,4.6,4.17,0.9
20120121,77,20120121,8.3,4.34,0
20120122,10,20120122,9.2,10.49,9
20120125,552,20120125,6.6,11.23,9.5
20120126,516,20120126,10.3,8.19,7.5
20120127,547,20120127,9.3,5.67,2.9
20120128,202,20120128,9.1,9.34,7.1
20120130,459,20120130,8,11.29,9.5
20120131,686,20120131,8.2,3.53,1.9
20120201,466,20120201,7.2,12.09,9.5
20120202,678,20120202,7.6,11.97,9.6
20120203,743,20120203,10.6,11.61,9.4
20120204,174,20120204,6.2,11.66,9.5
20120206,781,20120206,10.2,8.12,4.3
20120207,207,20120207,11.4,12.61,9.6
20120208,517,20120208,8.3,11.72,9.6
20120209,737,20120209,8.5,11.26,9.2
20120210,539,20120210,8.6,9.13,7.8
20120211,97,20120211,10,12.82,9.7
20120212,21,20120212,9.8,12.56,8.9
20120213,555,20120213,8.2,9.1,5.2
20120214,738,20120214,8.6,11.19,7.5
20120215,592,20120215,7.1,11.6,8.2
20120216,1026,20120216,8.8,12.97,9.6
20120217,446,20120217,5.9,11.51,8.3
20120218,161,20120218,7.4,13.84,9.8
20120220,464,20120220,10.8,12.33,9.6
20120221,298,20120221,6.4,5.42,0.5
20120222,505,20120222,12.9,12.03,8.7
20120223,480,20120223,7.1,9.79,5.8
20120224,318,20120224,9.5,8.89,4.7
20120225,234,20120225,7.3,8.62,3.6
20120227,708,20120227,11.1,15.1,10.5
20120228,588,20120228,10.5,9.24,3.5
20120229,558,20120229,13.3,13.54,9.2
20120301,28,20120301,10.6,13.24,7.7
20120302,520,20120302,4.3,5.47,2.1
20120303,185,20120303,10.2,12.99,8.9
20120305,651,20120305,5.4,3.76,0
20120306,508,20120306,2.8,1.66,0
20120307,417,20120307,7.9,12.11,7.2
20120308,644,20120308,5.5,10.7,4
20120309,732,20120309,11.2,11.14,5.3
20120310,142,20120310,7.6,13.7,7
20120312,624,20120312,8.9,18.2,11.2
20120313,982,20120313,10.1,15.5,9.2
20120314,714,20120314,4.1,2.94,0.3
20120315,550,20120315,13.5,17.19,10.4
20120316,548,20120316,7.2,6.41,0
20120317,65,20120317,9.3,12.65,5.5
20120319,346,20120319,7.7,15.36,9.8
20120320,533,20120320,10.2,18.95,11.3
20120321,450,20120321,10.9,18.93,11
20120322,676,20120322,8.1,9.92,2
20120323,303,20120323,7.4,1.38,0
20120324,280,20120324,5.4,13.08,7.5
20120326,679,20120326,8.9,19.83,11.6
20120327,654,20120327,9.9,9.92,4.9
20120328,570,20120328,9.4,14.83,8.2
20120329,437,20120329,10.3,11.61,4.9
20120330,557,20120330,6.1,4.02,0
20120331,121,20120331,7.6,15.87,10.2
20120402,339,20120402,10.6,5.81,0.2
20120403,870,20120403,8.3,5.81,2.9
20120404,532,20120404,10.6,17.62,10.5
20120405,573,20120405,9.1,20.07,11.7
20120406,414,20120406,7,17.62,7.8
20120407,108,20120407,11.8,21.6,12
20120409,841,20120409,11.7,18.81,8.4
20120410,733,20120410,5.4,3.57,0
20120411,122,20120411,8.3,11.26,5.4
20120412,463,20120412,7.1,12.43,4.3
20120413,549,20120413,7.7,10.91,1
20120414,143,20120414,10.5,18.26,8.1
20120416,508,20120416,10.7,17.98,8
20120417,659,20120417,12.2,20.86,11.9
20120418,278,20120418,12.1,15.75,7.8
20120419,507,20120419,12.1,17.84,8.3
20120420,267,20120420,10.2,18.54,9.3
20120421,128,20120421,6.8,2.56,0
20120423,691,20120423,8.2,6.32,0.6
20120424,932,20120424,14.4,18.71,9.2
20120425,400,20120425,10.2,1.82,0
20120426,460,20120426,8.8,23.44,12.7
20120427,483,20120427,14.5,21.43,11.9
20120428,177,20120428,8.3,19.21,8.9
20120430,675,20120430,14,23.01,12.4
20120501,180,20120501,11,16.74,6.4
20120502,457,20120502,10.1,19.26,10
20120503,676,20120503,8.4,19.2,9.6
20120504,605,20120504,11.4,22.82,12.2
20120507,533,20120507,12.7,20.96,10.2
20120508,389,20120508,13.8,19.51,9
20120509,627,20120509,12.4,21.08,10.7
20120510,472,20120510,11.1,19.37,11.1
20120511,382,20120511,6,7.96,0.4
20120512,91,20120512,6.7,12.1,1.8
20120514,698,20120514,2.1,1.97,0
20120515,709,20120515,9.7,22.03,10.6
20120516,523,20120516,9.3,18.89,7.6
20120517,505,20120517,6.6,15.79,7.9
20120518,574,20120518,12.5,23.04,12.7
20120519,189,20120519,12.7,20.56,11.6
20120521,330,20120521,11.7,22.87,12.4
20120522,479,20120522,11.5,22.75,12.4
20120523,503,20120523,9.5,22.34,10.4
20120524,785,20120524,7,10.26,1.5
20120525,519,20120525,10.4,22.94,11.5
20120526,268,20120526,12,17.15,8
20120527,3,20120527,6.3,11.32,2.8
20120529,1023,20120529,6.6,13.48,3
20120530,638,20120530,5,8.81,0.6
20120531,536,20120531,10.6,18.14,8.4
20120601,522,20120601,10.4,17.15,6.1
20120602,268,20120602,9.6,18.6,7.5
20120604,735,20120604,10.5,20.59,11.6
20120605,625,20120605,7.7,18.06,10
20120607,840,20120607,10.9,16.96,5.5
20120608,396,20120608,8.9,11.32,1.7
20120609,111,20120609,11.3,18.43,7.6
20120611,430,20120611,7.5,14.05,4.3
20120612,562,20120612,9.9,14.61,7.3
20120613,578,20120613,10.6,16.21,6.4
20120614,520,20120614,12.4,21.66,9
20120615,564,20120615,7.6,15.34,4.7
20120616,179,20120616,9.7,19.07,10.2
20120618,362,20120618,10.1,19.45,8.2
20120619,902,20120619,12.6,19.65,9.3
20120620,571,20120620,10,22.74,13
20120621,761,20120621,11.1,20.01,9.2
20120622,621,20120622,8,15.05,3.6
20120623,198,20120623,10.2,18.28,7.5
20120625,393,20120625,11,21.95,10.9
20120626,338,20120626,10.2,22.96,12.8
20120627,395,20120627,11.7,20.95,9.4
20120628,568,20120628,8.7,13.63,4.9
20120629,218,20120629,9,13.62,4.8
20120630,229,20120630,3.5,3.2,0.1
20120702,627,20120702,8.1,17.2,6.2
20120703,806,20120703,6,7.06,3.2
20120704,512,20120704,4.8,10.52,1.6
20120705,801,20120705,3.7,1.87,0
20120706,787,20120706,1.9,2.97,0
20120707,206,20120707,12.5,22.23,12
20120709,474,20120709,10.4,18.07,6.7
20120710,789,20120710,7.4,7.96,0.7
20120711,644,20120711,5.5,5.08,0.8
20120712,437,20120712,7.4,8.55,1
20120713,363,20120713,7.5,11,2.6
20120714,158,20120714,5.8,7.05,0.3
20120716,716,20120716,6,8.64,0.5
20120717,501,20120717,7.4,10.77,0.3
20120718,337,20120718,3.7,6.86,0.8
20120719,600,20120719,4.1,8.6,2.4
20120720,453,20120720,7.6,15.51,7.3
20120721,276,20120721,7.3,15.92,6.8
20120723,501,20120723,4.9,8.83,1.7
20120724,505,20120724,6.6,16.81,8.4
20120725,504,20120725,7.9,20.67,10.6
20120726,791,20120726,8.3,23.33,13
20120727,511,20120727,7.4,17.2,9.1
20120728,70,20120728,8,16.95,8.4
20120730,523,20120730,8.6,11.85,5
20120731,581,20120731,6.4,15.02,6.4
20120801,614,20120801,9.4,17.27,9.8
20120802,508,20120802,8.7,18.09,11.7
20120803,432,20120803,8.3,21.72,12.9
20120804,98,20120804,8,21.67,11.3
20120806,607,20120806,8,15.26,9.4
20120807,732,20120807,8.4,17.56,9.2
20120808,546,20120808,8.7,18.15,9.7
20120809,827,20120809,8,17.46,8.5
20120810,370,20120810,3.3,5.38,0.2
20120811,256,20120811,7.8,10.16,2.6
20120813,594,20120813,10,15.01,6.5
20120814,1261,20120814,8,15.87,6.9
20120816,543,20120816,6.2,13.85,4.4
20120817,267,20120817,7.9,11.17,3.8
20120818,167,20120818,2.8,3.65,0
20120820,501,20120820,3.1,3.06,0
20120821,616,20120821,5.2,7.64,0.6
20120822,506,20120822,4.3,6.71,0
20120823,711,20120823,5.2,9.53,1.8
20120824,411,20120824,5,8.09,0.1
20120825,205,20120825,7.4,7.63,2.3
20120827,1034,20120827,8.4,16.28,9.2
20120828,599,20120828,7.6,1.02,0
20120829,743,20120829,7.4,12.26,7
20120830,601,20120830,6,1.52,0
20120831,594,20120831,9.7,19.57,11.3
20120901,279,20120901,7.1,16.07,8.2
20120903,582,20120903,6.3,9.1,3.7
20120904,373,20120904,4.7,4.16,0.5
20120905,561,20120905,6.9,18.7,9.7
20120906,640,20120906,11.1,20.97,12
20120907,842,20120907,10.3,15.22,7.7
20120908,122,20120908,6,7.74,2.9
20120910,635,20120910,10.5,16.41,10.5
20120911,241,20120911,9.4,16.28,10.5
20120912,358,20120912,5.2,5.85,0.2
20120913,377,20120913,2.5,1.62,0
20120914,354,20120914,4.5,10,2.1
20120915,230,20120915,8.5,13.3,7.2
20120917,743,20120917,2.4,0.87,0
20120918,746,20120918,6.9,13.9,9.1
20120919,767,20120919,7.5,12.26,7.6
20120920,751,20120920,9.1,10.96,7.9
20120921,630,20120921,7.1,9.52,5.2
20120922,242,20120922,11.2,15.78,9.6
20120924,961,20120924,11.4,17.01,11.2
20120925,896,20120925,10.9,17.37,10.8
20120926,593,20120926,7.9,10.97,5.6
20120927,582,20120927,5.9,9.02,1.7
20120928,509,20120928,6.6,5.41,4
20120929,4,20120929,5.8,14.38,8.6
20121002,578,20121002,10.6,12.74,8.4
20121003,18,20121003,11,14.71,9.1
20121004,638,20121004,9.8,13.59,10.3
20121005,433,20121005,7.9,10.1,4.4
20121006,289,20121006,8.4,13.28,8.8
20121008,726,20121008,8.8,13.34,8.7
20121009,1046,20121009,8.6,10.16,5.6
20121010,426,20121010,7.7,6.29,3.5
20121011,701,20121011,9.1,15.99,10.7
20121012,585,20121012,12.9,14.46,10.6
20121013,161,20121013,11.8,12,9.4
20121015,466,20121015,11.5,14.35,10.5
20121016,394,20121016,12.6,13.08,8.2
20121017,843,20121017,9.5,12.54,7.2
20121018,464,20121018,11,14.74,10.4
20121019,320,20121019,9.8,12.76,9.8
20121020,135,20121020,10.5,10.4,6.8
20121022,439,20121022,8.6,0.85,0.3
20121023,587,20121023,10,14.23,10
20121024,943,20121024,8.9,5.26,3.5
20121025,534,20121025,7.4,7.3,4
20121026,289,20121026,11.2,11.92,8.9
20121027,303,20121027,3.9,0.38,0
20121029,604,20121029,8.7,9.88,6.4
20121030,430,20121030,6.6,11.83,9.6
20121031,379,20121031,8.8,9.97,6.4
20121101,617,20121101,7.3,12.8,9.8
20121102,521,20121102,10.8,12.61,9.8
20121103,270,20121103,12.5,11.14,9.5
20121104,7,20121104,6.2,4.21,1.3
20121105,624,20121105,3.5,1.92,0.5
20121106,676,20121106,3.5,2.04,0.7
20121107,492,20121107,8.4,8.46,6.5
20121108,471,20121108,6.6,4.06,0
20121109,324,20121109,10.6,10.8,8.4
20121110,278,20121110,5.5,10.64,9.1
20121111,30,20121111,8.4,1.71,0.7
20121112,900,20121112,3.3,3.34,1.4
20121113,649,20121113,7.4,7.72,7.2
20121114,407,20121114,7.3,11.13,9.3
20121115,888,20121115,10.1,10.51,9.5
20121116,629,20121116,7.2,2.72,0.6
20121117,95,20121117,6.5,8.51,7.4
20121119,596,20121119,8.1,7.13,5.8
20121120,910,20121120,8.2,9.72,8.9
20121121,558,20121121,8.8,6.19,5.1
20121122,490,20121122,8.6,6.78,5.2
20121123,736,20121123,6.6,8.01,6.4
20121124,64,20121124,8.5,10.63,9.3
20121126,949,20121126,6.3,9.2,8.1
20121127,384,20121127,9.3,9.89,9.3
20121128,450,20121128,10.3,3.85,3.5
20121129,503,20121129,6.6,8.82,8.2
20121130,356,20121130,9.2,6.9,5.9
20121201,62,20121201,9.9,9.09,8.9
20121203,341,20121203,6.6,0.66,0
20121204,678,20121204,5.8,9.63,9.2
20121205,460,20121205,5.4,1.99,0.1
20121206,523,20121206,7.4,8.25,6.8
20121207,523,20121207,4,2.33,0
20121208,147,20121208,5.7,8.74,8.7
20121209,14,20121209,6.2,9.16,9
20121210,512,20121210,7.2,9.1,9
20121211,686,20121211,9.6,8.35,9
20121212,720,20121212,9,8.34,8.8
20121213,576,20121213,9.6,7.47,8
20121214,544,20121214,4.4,0.61,0
20121215,430,20121215,6.4,6.02,4.5
20121217,822,20121217,7.9,7.1,7.2
20121218,718,20121218,5.2,8.97,9
20121220,597,20121220,8.1,7.63,7.9
20121221,739,20121221,2.7,2.38,0
20121222,133,20121222,5.1,4.59,4.1
20121223,14,20121223,6.6,8.84,8.8
20121224,633,20121224,9.1,8.93,9
20121226,399,20121226,7.5,9.22,9
20121227,625,20121227,10.5,7.81,7.3
20121228,897,20121228,5,2.5,0
20121229,302,20121229,2.5,0.97,0
20121231,502,20121231,6.6,9.45,9
20130102,536,20130102,10.3,9.62,9.1
20130103,734,20130103,7.1,9.78,9.1
20130104,555,20130104,9,9.54,9.2
20130105,147,20130105,10.9,8.09,7.5
20130107,636,20130107,8.9,7.8,5.8
20130108,902,20130108,6.1,8.55,8
20130109,738,20130109,4.3,10.07,9.3
20130110,601,20130110,8.7,9.74,9.1
20130111,679,20130111,9.3,7.52,6.1
20130112,167,20130112,6.9,5.67,3.2
20130114,364,20130114,6.1,5.89,4.5
20130115,635,20130115,7.5,6.87,4.1
20130116,378,20130116,6.2,5.16,4
20130117,774,20130117,5.7,7.97,7.3
20130118,635,20130118,9.4,9.79,9.3
20130119,187,20130119,7.1,7.74,6.5
20130121,498,20130121,2.9,0.97,0
20130122,616,20130122,4,4.16,0
20130123,446,20130123,2.8,0.89,0
20130124,497,20130124,9.1,3.52,2.4
20130125,389,20130125,4.3,11.26,9.5
20130126,274,20130126,6.8,11.27,9.6
20130128,598,20130128,9.1,6.04,3.7
20130129,685,20130129,4,1.8,0
20130130,620,20130130,5,4.65,0.7
20130131,526,20130131,7.8,7.45,6.4
20130201,550,20130201,5.6,0.64,0
20130202,334,20130202,8.2,12.19,9.4
20130204,383,20130204,5.8,8.18,6.1
20130205,791,20130205,6.7,3.16,0
20130206,709,20130206,3.3,9.35,5.8
20130207,670,20130207,11.2,13.63,9.8
20130208,520,20130208,9.7,12.85,9.3
20130212,473,20130212,2.9,5.78,0.2
20130213,531,20130213,9.2,13.01,9.3
20130214,491,20130214,7.8,11.31,7.4
20130215,536,20130215,6.7,14.35,9.7
20130216,368,20130216,9.6,13.9,9.6
20130218,912,20130218,5.6,10.1,5.7
20130219,947,20130219,7.7,14.59,9.6
20130220,497,20130220,8.7,14.55,9.5
20130221,432,20130221,7.8,13.68,9
20130222,511,20130222,7.4,11.62,7.4
20130223,59,20130223,6.8,14.41,9.7
20130225,194,20130225,9.3,10.64,6.2
20130226,432,20130226,5,3.14,0
20130227,914,20130227,8,13.21,7
20130228,563,20130228,15,11.39,6.7
20130302,213,20130302,7.5,14.67,9.7
20130304,609,20130304,9.6,10.62,5.8
20130305,675,20130305,9.8,15.92,10.7
20130306,843,20130306,13.4,11.78,6.9
20130307,504,20130307,7.4,4.79,2.2
20130308,374,20130308,10.3,11.61,6.1
20130309,295,20130309,17.6,13.95,9.4
20130311,1092,20130311,14.7,17.9,11.2
20130312,791,20130312,10.1,6.16,3
20130313,490,20130313,6.6,9.72,5.7
20130314,373,20130314,8.9,15.69,9.3
20130315,534,20130315,10.5,16.66,10.7
20130316,263,20130316,11.1,15.76,10.8
20130318,482,20130318,8.9,16.12,9.3
20130319,659,20130319,6.2,8.28,3.2
20130320,757,20130320,11,11.32,5.6
20130321,721,20130321,11.2,18.56,11.2
20130322,637,20130322,6,4.67,0.7
20130323,146,20130323,13.3,18.45,11.2
20130325,627,20130325,8.5,19.9,11.5
20130326,582,20130326,11.3,18.86,11.5
20130327,678,20130327,13.5,19.85,11.4
20130328,545,20130328,7.6,10.62,4
20130329,329,20130329,9.8,20.29,11.7
20130330,335,20130330,7.9,9.76,3.4
20130401,610,20130401,10.1,10.14,0.9
20130402,653,20130402,3.7,3.26,0.6
20130403,702,20130403,10.2,17.39,8.7
20130404,586,20130404,14.2,18.18,10.7
20130405,792,20130405,9.8,10.99,2.1
20130406,246,20130406,10.5,2.48,0
20130408,585,20130408,11.3,15.6,7.5
20130409,660,20130409,7.5,17.86,10.2
20130410,767,20130410,6.8,12.56,8.6
20130411,411,20130411,5.9,15.41,10.1
20130412,447,20130412,9.7,18.42,11.6
20130413,107,20130413,14.1,19.53,10
20130415,396,20130415,9.9,9.58,2.2
20130416,856,20130416,10.5,11.55,2.7
20130417,520,20130417,10.3,19.62,9.4
20130418,514,20130418,7.3,16.75,7.8
20130419,390,20130419,9.9,20.53,10.2
20130420,221,20130420,6.1,3.73,0.1
20130422,639,20130422,11.6,21.53,10.7
20130423,528,20130423,5.1,4.96,0
20130424,443,20130424,9.7,21.46,11.8
20130425,426,20130425,5.9,7.66,2.7
20130426,525,20130426,9.4,19.71,11.7
20130427,234,20130427,10.3,21.5,11.6
20130429,696,20130429,8.7,14.17,6.7
20130430,471,20130430,11.8,22.65,10.7
20130501,226,20130501,9.9,20.16,10.5
20130502,386,20130502,8.1,14.27,8.9
20130503,500,20130503,9.2,14.75,6.2
20130504,204,20130504,10.3,21.12,11.2
